p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.86334800096685e-79	3.79096078338657	0.705	0.343	1.49831812757745e-75	3	LTB
2.00997961324803e-79	2.3874069554779	0.637	0.248	1.61622460701274e-75	3	APOBEC3G
4.60209526395723e-78	2.25355788469945	0.609	0.228	3.70054480174801e-74	3	SQRDL
1.35884301011839e-156	0.760159674954703	1	1	1.09264566443619e-152	2	NPM1
2.11129347538968e-140	0.966310652995686	1	0.999	1.69769108356084e-136	2	EIF1
4.2456819335206e-139	-1.09876877333922	0.988	0.998	3.41395284274392e-135	2	GAPDH
9.67995028322651e-135	0.982084010463116	1	0.984	7.78364802274244e-131	2	NOP58
9.83018944760339e-134	1.45892344517058	0.998	0.936	7.90445533481789e-130	2	SLC3A2
4.21656362334339e-127	0.719760406012998	1	0.998	3.39053880953042e-123	2	NCL
2.34586298607552e-119	0.866205145394261	0.998	0.997	1.88630842710333e-115	2	SRSF7
7.16266628418997e-115	-0.907895013228836	1	1	5.75949995911716e-111	2	ACTB
7.41168438280871e-110	0.726589152852551	0.998	0.988	5.95973541221648e-106	2	CYCS
1.76213928542505e-108	-2.09159100994426	0.624	0.921	1.41693619941029e-104	2	ARHGDIB
7.62386872879125e-106	-2.12816595371895	0.476	0.862	6.13035284482105e-102	2	CORO1A
4.87369550200525e-105	-1.26178059828969	0.718	0.955	3.91893855316242e-101	2	PPP1CA
1.67684027472802e-103	-3.19068103442285	0.192	0.713	1.3483472649088e-99	2	UCP2
4.71800001460736e-103	1.05466393122153	0.988	0.959	3.79374381174578e-99	2	RSL24D1
6.47475024537089e-103	-1.42448286245922	0.783	0.979	5.20634667230273e-99	2	MYL12A
1.06518760562478e-102	-1.86521033968029	0.43	0.869	8.56517353682882e-99	2	GNAI2
1.68230139841244e-102	-1.37116054765177	0.663	0.939	1.35273855446345e-98	2	DYNLL1
4.4561619132633e-102	-1.1408484330548	0.949	0.993	3.58319979445502e-98	2	ACTG1
7.25831201403692e-101	-1.7946032847469	0.471	0.902	5.83640869048709e-97	2	PSMB9
9.07392047161741e-100	-1.19066136772819	0.82	0.959	7.29633945122756e-96	2	TUBB
7.91642912668004e-148	-0.692576205587594	1	1	6.36560066076342e-144	0	B2M
3.21802759492029e-146	0.766761846753156	1	0.983	2.58761598907541e-142	0	HSPD1
2.02672167066425e-138	-0.927665789533032	1	1	1.62968689538112e-134	0	RPS27
4.80488508503524e-122	-0.682026210432699	1	0.999	3.86360809687683e-118	0	RPS29
3.53921364298407e-110	0.889639098603502	1	0.889	2.84588169032349e-106	0	ODC1
1.44540420429628e-99	0.511118309348621	1	0.998	1.16224952067464e-95	0	ATP5B
2.77167195797634e-99	1.14991891137186	0.984	0.742	2.22870142140878e-95	0	CCND3
1.35919192632163e-96	-0.789851601210893	1	1	1.09292622795522e-92	0	TPT1
1.60095357991951e-94	0.702297272670217	0.997	0.911	1.28732677361328e-90	0	PHB2
6.92139411332639e-93	0.661249746450619	1	0.953	5.56549300652575e-89	0	TCP1
3.4559391391079e-92	0.863397738562389	0.999	0.803	2.77892066175666e-88	0	FKBP4
1.9762119635157e-91	0.568817711387728	1	0.967	1.58907203986298e-87	0	CCT6A
3.11494651986871e-91	-1.36121981726003	1	0.999	2.50472849662643e-87	0	TMSB4X
6.69400738730457e-86	-1.28454249452207	0.983	0.99	5.38265134013161e-82	0	SRGN
1.26804832729776e-83	0.452526007044185	1	0.994	1.01963765998013e-79	0	LDHA
1.38676221173153e-80	-0.865003296727963	0.999	0.992	1.11509549445332e-76	0	IL2RG
2.00315848053754e-80	-1.09835473319363	1	0.999	1.61073973420024e-76	0	FTH1
2.20954681266152e-80	0.578013838135718	1	0.961	1.77669659206113e-76	0	CCT3
2.28486475708173e-79	-0.467896634073283	1	1	1.83725975116942e-75	0	RPL21
1.0946185628436e-76	-0.910927308382599	1	0.999	8.80182786382538e-73	0	TMSB10
2.23180305020185e-64	2.56169158148506	0.986	0.753	1.79459283266731e-60	4	RNF19A
9.7103237945982e-61	1.64650684141219	1	0.987	7.80807136323642e-57	4	SRGN
1.51339239075014e-57	0.749872762767865	1	1	1.21691882140219e-53	4	B2M
9.81453265157041e-49	-1.23639818589423	0.885	0.993	7.89186570512776e-45	4	ATP5G3
1.18458235520529e-48	3.24956366474579	0.824	0.414	9.52522671820571e-45	4	TNFSF8
2.09036632308569e-47	2.42989432506462	0.932	0.48	1.68086356039321e-43	4	EGR2
2.11074494987993e-47	0.958063840751306	1	1	1.69725001419845e-43	4	RPS27
2.12873602227442e-47	1.02702351720083	1	1	1.71171663551086e-43	4	TPT1
1.07821307786126e-46	2.86863898315895	0.662	0.211	8.66991135908242e-43	4	FASLG
3.69494605756463e-45	2.44606741055736	0.912	0.558	2.97110612488772e-41	4	NFKBID
6.83309823978556e-45	2.20934457791623	0.926	0.61	5.49449429461157e-41	4	SLAMF1
7.19857434675436e-44	2.16715790666898	0.946	0.643	5.78837363222518e-40	4	TNFSF14
1.24065962308652e-43	-1.67706459422467	0.601	0.956	9.97614402923872e-40	4	CACYBP
1.85018851866869e-43	2.6856838110377	0.899	0.497	1.48773658786149e-39	4	IL7R
3.40027918049643e-43	-2.7534306997325	0.297	0.841	2.73416448903718e-39	4	CCND3
4.85182075400251e-43	-1.33582626400371	0.736	0.98	3.90134906829342e-39	4	ATP5A1
1.49364659956437e-41	-2.33642071765868	0.378	0.878	1.20104123070971e-37	4	CDK2AP2
2.68896555596647e-41	-1.67884592862875	0.669	0.944	2.16219720355264e-37	4	TUBB
6.56966890567536e-40	2.94769240025286	0.851	0.497	5.28267076705355e-36	4	PHLDA1
1.77729671660637e-39	3.66490493882012	0.547	0.159	1.42912428982318e-35	4	CSF2
